Date(UTC),Profit(%)
2022-06-10 21:00:00,0
2022-06-11 21:00:00,13.773136859690126
2022-06-12 21:00:00,31.42624326338548
2022-06-13 21:00:00,87.83369426498973
2022-06-14 21:00:00,94.9712942139933
2022-06-15 21:00:00,91.83025216476676
2022-06-16 21:00:00,101.03801200631648
2022-06-17 21:00:00,101.06867650789151
2022-06-18 21:00:00,100.96385966614423
2022-06-19 21:00:00,101.0647737531456
2022-06-20 21:00:00,101.07257926263742
2022-06-21 21:00:00,101.09320810915148
2022-06-22 21:00:00,101.5613779726948
2022-06-23 21:00:00,95.77353513831449
2022-06-24 21:00:00,107.02720613529885
2022-06-25 21:00:00,114.95452477709568
2022-06-26 21:00:00,113.12267328261632
2022-06-27 21:00:00,113.8184237994829
2022-06-28 21:00:00,118.77075634409948
2022-06-29 21:00:00,117.33233983675709
2022-06-30 21:00:00,114.57808712548734
2022-07-01 21:00:00,90.73136654321519
2022-07-02 21:00:00,91.25695716825875
2022-07-03 21:00:00,90.23332437979523
2022-07-04 21:00:00,97.65390715718489
2022-07-05 21:00:00,85.91834161208156
2022-07-06 21:00:00,93.44088410099536
2022-07-07 21:00:00,108.35841285875256
2022-07-08 21:00:00,99.08301639483292
2022-07-09 21:00:00,98.86515576977955
2022-07-10 21:00:00,86.17962716022376
2022-07-11 21:00:00,88.39639572160056
2022-07-12 21:00:00,98.32826110934458
2022-07-13 21:00:00,77.64654123140626
2022-07-14 21:00:00,73.93482373077272
2022-07-15 21:00:00,75.00831825775333
2022-07-16 21:00:00,79.48406990946071
2022-07-17 21:00:00,75.62298799745528
2022-07-18 21:00:00,78.23271699349918
2022-07-19 21:00:00,90.30149144919162
2022-07-20 21:00:00,98.41553340199481
2022-07-21 21:00:00,92.59599296390337
2022-07-22 21:00:00,90.69034884177496
2022-07-23 21:00:00,87.95822092154985
2022-07-24 21:00:00,87.96915103826572
2022-07-25 21:00:00,91.28256726607597
2022-07-26 21:00:00,90.80178814471313
2022-07-27 21:00:00,93.40792367681634
2022-07-28 21:00:00,103.58691332769254
2022-07-29 21:00:00,96.2536680711209
2022-07-30 21:00:00,98.13281330406869
2022-07-31 21:00:00,98.86301749675388
2022-08-01 21:00:00,98.86239479858222
2022-08-02 21:00:00,98.86395154401144
2022-08-03 21:00:00,98.90691771785889
2022-08-04 21:00:00,99.89168682429757
2022-08-05 21:00:00,69.0626208857614
2022-08-06 21:00:00,64.38913650566096
2022-08-07 21:00:00,63.94215465272934
2022-08-08 21:00:00,64.07268101160916
2022-08-09 21:00:00,50.478773667384736
2022-08-10 21:00:00,40.6374095765073
2022-08-11 21:00:00,34.204965069606175
2022-08-12 21:00:00,46.84555165693267
2022-08-13 21:00:00,45.86125064159858
2022-08-14 21:00:00,45.79755332639917
2022-08-15 21:00:00,39.09139627124267
2022-08-16 21:00:00,39.893489313975984
2022-08-17 21:00:00,42.25850721533937
2022-08-18 21:00:00,42.026667272936244
2022-08-19 21:00:00,106.55819738993637
2022-08-20 21:00:00,96.2023857737511
2022-08-21 21:00:00,90.7559492531114
2022-08-22 21:00:00,92.66562351657659
2022-08-23 21:00:00,91.05677819922364
2022-08-24 21:00:00,91.04108008579847
2022-08-25 21:00:00,91.06706317008839
2022-08-26 21:00:00,110.31643072729852
2022-08-27 21:00:00,114.81718876777597
2022-08-28 21:00:00,122.20236167565494
2022-08-29 21:00:00,108.60365928211144
2022-08-30 21:00:00,109.10449871412862
2022-08-31 21:00:00,88.7909429195843
2022-09-01 21:00:00,90.23074952832071
2022-09-02 21:00:00,81.1557206668887
2022-09-03 21:00:00,75.72492905839243
2022-09-04 21:00:00,75.09104626331396
2022-09-05 21:00:00,75.09104622925177
2022-09-06 21:00:00,95.97256334488522
2022-09-07 21:00:00,73.79616436837475
2022-09-08 21:00:00,73.42118867461704
2022-09-09 21:00:00,133.55190620327826
2022-09-10 21:00:00,151.09072633633852
2022-09-11 21:00:00,153.39473939836572
2022-09-12 21:00:00,168.7061159793255
2022-09-13 21:00:00,167.78729101262692
2022-09-14 21:00:00,167.8060391191733
2022-09-15 21:00:00,167.72413949583898
2022-09-16 21:00:00,167.7616357089318
2022-09-17 21:00:00,167.80307889182387
2022-09-18 21:00:00,167.66644375692127
2022-09-19 21:00:00,158.332453083829
2022-09-20 21:00:00,156.55732689908803
2022-09-21 21:00:00,143.17059762996755
2022-09-22 21:00:00,120.67489932534427
2022-09-23 21:00:00,121.16664450310198
2022-09-24 21:00:00,121.913690662366
2022-09-25 21:00:00,122.44226688698565
2022-09-26 21:00:00,120.58765442497696
2022-09-27 21:00:00,119.15222951663935
2022-09-28 21:00:00,116.00042017373985
2022-09-29 21:00:00,113.83202153111789
2022-09-30 21:00:00,110.98606159585395
2022-10-01 21:00:00,110.84890343448733
2022-10-02 21:00:00,110.85754226505777
2022-10-03 21:00:00,110.86858077078668
2022-10-04 21:00:00,113.5785358179628
2022-10-05 21:00:00,108.76165633172796
2022-10-06 21:00:00,111.49559091537724
2022-10-07 21:00:00,112.27882955260333
2022-10-08 21:00:00,116.34865102038611
2022-10-09 21:00:00,115.04608567964448
2022-10-10 21:00:00,117.620879330879
2022-10-11 21:00:00,115.34192993652317
2022-10-12 21:00:00,114.78421303820178
2022-10-13 21:00:00,96.87238772214958
2022-10-14 21:00:00,88.84277443222072
2022-10-15 21:00:00,82.07282120798023
2022-10-16 21:00:00,82.41964588819708
2022-10-17 21:00:00,79.69761454074775
2022-10-18 21:00:00,76.91566643106673
2022-10-19 21:00:00,80.17571736852666
2022-10-20 21:00:00,79.96601272740003
